producto_id,producto,categoria,unidad_medida,precio_venta_actual,stock_actual,stock_minimo,activo
PROD-001,Arroz extra 1 kg,ABARROTES,BOLSA,5.20,42,20,TRUE
PROD-002,Azúcar rubia 1 kg,ABARROTES,BOLSA,4.80,18,15,TRUE
PROD-003,Aceite vegetal 1 L,ABARROTES,BOTELLA,10.90,9,12,TRUE
PROD-004,Fideos spaghetti 500 g,ABARROTES,PAQUETE,3.50,34,15,TRUE
PROD-005,Atún en lata 170 g,ABARROTES,LATA,6.90,0,10,TRUE
PROD-006,Agua mineral 625 ml,BEBIDAS,BOTELLA,2.00,55,20,TRUE
PROD-007,Gaseosa cola 500 ml,BEBIDAS,BOTELLA,3.50,21,15,TRUE
PROD-008,Gaseosa naranja 500 ml,BEBIDAS,BOTELLA,3.20,14,12,TRUE
PROD-009,Néctar de durazno 1 L,BEBIDAS,CAJA,5.90,6,8,TRUE
PROD-010,Bebida rehidratante 500 ml,BEBIDAS,BOTELLA,4.00,32,12,TRUE
PROD-011,Leche evaporada 400 g,LACTEOS,LATA,4.50,8,10,TRUE
PROD-012,Yogur fresa 1 L,LACTEOS,BOTELLA,7.90,16,12,TRUE
PROD-013,Yogur bebible 180 ml,LACTEOS,BOTELLA,2.20,28,15,TRUE
PROD-014,Queso fresco 250 g,LACTEOS,PAQUETE,9.50,0,6,TRUE
PROD-015,Mantequilla 200 g,LACTEOS,PAQUETE,8.90,8,8,TRUE
PROD-016,Detergente 800 g,LIMPIEZA,BOLSA,11.50,7,10,TRUE
PROD-017,Lavavajilla 750 ml,LIMPIEZA,BOTELLA,8.50,14,10,TRUE
PROD-018,Lejía 1 L,LIMPIEZA,BOTELLA,4.20,24,10,TRUE
PROD-019,Papel higiénico 4 rollos,LIMPIEZA,PAQUETE,8.90,18,12,TRUE
PROD-020,Limpiatodo 900 ml,LIMPIEZA,BOTELLA,6.50,0,8,TRUE
PROD-021,Champú 400 ml,CUIDADO_PERSONAL,BOTELLA,14.90,5,7,TRUE
PROD-022,Jabón de tocador,CUIDADO_PERSONAL,UNIDAD,3.20,27,12,TRUE
PROD-023,Pasta dental 90 ml,CUIDADO_PERSONAL,UNIDAD,7.50,13,10,TRUE
PROD-024,Desodorante 150 ml,CUIDADO_PERSONAL,UNIDAD,12.90,18,8,TRUE
PROD-025,Toallas higiénicas 10 unidades,CUIDADO_PERSONAL,PAQUETE,8.20,0,8,TRUE
PROD-026,Galletas de vainilla,SNACKS,PAQUETE,1.50,60,20,TRUE
PROD-027,Papas fritas 45 g,SNACKS,BOLSA,2.50,17,15,TRUE
PROD-028,Chocolate 30 g,SNACKS,UNIDAD,2.00,10,10,TRUE
PROD-029,Caramelos surtidos 100 g,SNACKS,BOLSA,2.80,38,15,TRUE
PROD-030,Maní salado 100 g,SNACKS,BOLSA,3.50,0,8,TRUE
PROD-031,Pan francés,PANADERIA,UNIDAD,0.40,85,30,TRUE
PROD-032,Pan integral 500 g,PANADERIA,PAQUETE,6.50,11,10,TRUE
PROD-033,Queque de vainilla 400 g,PANADERIA,PAQUETE,9.90,5,6,TRUE
PROD-034,Bizcochos 6 unidades,PANADERIA,PAQUETE,4.50,22,10,TRUE
PROD-035,Tostadas 200 g,PANADERIA,PAQUETE,4.20,0,7,TRUE
